nodes,distance
"[1497570415, 6644282410]",5.062073
"[1497570415, 6644282410]",5.920667
"[1497570415, 6644282410]",6.913333
"[1497570415, 6644282410]",6.153109
"[1497570415, 6644282410]",4.167701
"[1497570415, 6644282410]",2.745645
"[1497570415, 6644282410]",0.564972
"[1497570415, 6644282410]",0.330933
"[1497570415, 6644282410]",0.430305
"[6644282410, 309642113]",0.661865
"[6644282410, 309642113]",1.521251
"[6644282408, 309642113]",0.760625
"[10584029029, 9966237343]",3.309325
"[9966237343, 9966237344]",1.620986
"[9966237343, 9966237344]",5.854045
"[9966237343, 9966237344]",9.127505
"[9966237343, 9966237344]",8.135872
"[9966237343, 9966237344]",9.557555
"[9966237343, 9966237344]",13.989909
"[9966237343, 9966237344]",10.31818
"[9966237343, 9966237344]",8.565998
"[9966237343, 9966237344]",1.620986
"[9966237345, 9966237344]",1.620986
"[11443034703, 11435116572]",0.0
"[11443034704, 11443034703]",0.838975
"[11443034704, 11443034703]",0.207909
"[11443034704, 11443034703]",0.0
"[11443034704, 11443034703]",0.103955
"[11443034704, 11443034703]",0.838975
"[11435098061, 11435116595]",1.148849
"[6644906347, 98010332]",2.345773
"[10146964677, 8184606199]",8.928805
"[10146964675, 5703788560]",6.892417
"[5703788560, 5703788561]",8.062219
"[8184606301, 8184606211]",4.332856
"[5703788563, 5703788564]",4.167701
"[11974544808, 8338571093]",6.296264
"[8997860586, 8184606239]",11.807811
"[8184606239, 8184606195]",13.095801
"[8184606239, 8184606195]",11.673724
"[8184606239, 8184606195]",10.715308
"[8184606239, 8184606195]",9.920924
"[8184606239, 8184606195]",11.342975
